baseline,seed,total_return,mean_reward,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,promotion_count,promotion_delay,UpperHFPower,LowerLFDrift,FocusScore,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain
freq_hrl,42,0.24818656502732206,0.0003080367068188985,15.669709676838085,28.445049351272566,0.010404746944850718,23.853205305502307,6.797748624382138,0.040786491746292834,2.751303448672924e-05,0.0005987375082075421,0.07184850098490506,267,319.0,0.0012574673057041883,1.8706222221037394,0.9346230779388965,0.00035,0.2,0.0,0.1
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.00035,0.2,0.0,0.1
freq_hrl,123,0.22168450843707843,0.0002782377971895641,14.295347133236161,32.660887873103,0.01720012308191876,12.8885419820117,7.21564707771487,0.04329388246628922,1.7674080568479982e-05,0.0004911021780891694,0.05893226137070033,324,146.0,0.0015427006103388749,1.7815766089651042,0.9342831026075044,0.00035,0.2,0.0,0.1
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.00035,0.2,0.0,0.1
freq_hrl,456,0.2708779839676392,0.00033307331970480004,17.077638789390885,27.69109371242349,0.005547187103036588,48.83159319060245,6.208026508766569,0.037248159052599414,2.3407280704718473e-05,0.0005546233581881097,0.06655480298257316,281,102.0,0.0007716078389174225,1.9022088993799742,0.8094077311090271,0.00035,0.2,0.0,0.1
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.00035,0.2,0.0,0.1
freq_hrl,789,0.25747472888248124,0.0003183460221415357,17.692566749384778,42.93335672366491,0.00514383768786475,50.054987055659055,5.5583652630534335,0.0333501915783206,1.1618186098081728e-05,0.0004965945004852282,0.05959134005822739,66,-1.0,0.0006807454660058916,1.7796335095487616,0.7971872142345711,0.00035,0.2,0.0,0.1
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.00035,0.2,0.0,0.1
freq_hrl,2026,0.22345778981070086,0.00028023185133285754,14.496863684824271,25.130565438060483,0.010395880948153913,21.49483924692137,7.125236617128174,0.042751419702769036,2.727974572393888e-05,0.00039509294101840403,0.04741115292220848,260,21.0,0.001318412208853788,1.8845149303842494,0.8825626309611209,0.00035,0.2,0.0,0.1
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.00035,0.2,0.0,0.1
