check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
order_book_depth_state_space_vs_ema_turnover,order-book stress encoder paired check,not_supported,turnover,state_space,ema,decrease,25,3.4667756857188037,3.4136304073073607,3.52386308073052,-3.4667756857188037,-3.5276054521303757,-3.4096783830130195,,0.0,5.960464477539063e-08
order_book_matching_adaptive_wavelet_vs_ema_sharpe,L2 order-book matching encoder paired check,positive_mixed,sharpe,adaptive_wavelet,ema,increase,30,1.4779361517297507,-1.3086756574791518,3.8864844322813097,1.4779361517297507,-1.382223241728669,4.120249189483057,,0.5,0.30745625495910645
order_book_matching_adaptive_wavelet_vs_ema_total_return,L2 order-book matching encoder paired check,supported,total_return,adaptive_wavelet,ema,increase,30,1.9689467631385977e-05,1.4232444003354588e-06,3.712119691960806e-05,1.9689467631385977e-05,2.219395091860218e-06,3.8514910516218856e-05,,0.5666666666666667,0.06391465663909912
order_book_matching_adaptive_wavelet_vs_ema_max_drawdown,L2 order-book matching encoder paired check,supported,max_drawdown,adaptive_wavelet,ema,decrease,30,-2.573369432737893e-05,-4.151196204622602e-05,-7.949943249853468e-06,2.573369432737893e-05,9.158479091087394e-06,4.2249863371153956e-05,,0.6666666666666666,0.001543879508972168
order_book_matching_adaptive_wavelet_vs_ema_avg_slippage_bps,L2 order-book matching encoder paired check,inconclusive,avg_slippage_bps,adaptive_wavelet,ema,decrease,30,-7.975102060224041e-16,-4.17633520359099e-15,2.383278759528669e-15,7.975102060224041e-16,-2.383325018821362e-15,3.989401401819729e-15,,0.2,1.0
order_book_matching_adaptive_wavelet_vs_ema_partial_fill_rate,L2 order-book matching encoder paired check,not_supported,partial_fill_rate,adaptive_wavelet,ema,decrease,30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
order_book_matching_adaptive_wavelet_vs_ema_fill_rate,L2 order-book matching encoder paired check,not_supported,fill_rate,adaptive_wavelet,ema,increase,30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
order_book_matching_neural_state_space_vs_ema_sharpe,L2 order-book matching encoder paired check,supported,sharpe,neural_state_space,ema,increase,30,2.292473181667461,-0.020502212897556753,4.485247617591384,2.292473181667461,0.10465944320530396,4.658385472772606,,0.5666666666666667,0.06391465663909912
order_book_matching_neural_state_space_vs_ema_total_return,L2 order-book matching encoder paired check,supported,total_return,neural_state_space,ema,increase,30,2.971113079914082e-05,1.2653232228638326e-05,4.622267084986706e-05,2.971113079914082e-05,1.3189172148157236e-05,4.6336559300407716e-05,,0.6,0.022655844688415527
order_book_matching_neural_state_space_vs_ema_max_drawdown,L2 order-book matching encoder paired check,supported,max_drawdown,neural_state_space,ema,decrease,30,-4.202533971711849e-05,-5.775890151208644e-05,-2.6206978159026958e-05,4.202533971711849e-05,2.678643948289196e-05,5.8077864820297765e-05,,0.6666666666666666,0.001543879508972168
