route_id,grouping_type,direction_id,direction_name,stop_sequence,stop_id
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,19,MTA_200624
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,20,MTA_200710
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,21,MTA_200626
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,22,MTA_200627
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,23,MTA_200580
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,24,MTA_202604
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,25,MTA_202660
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,26,MTA_200582
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,27,MTA_200583
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,28,MTA_200584
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,29,MTA_204063
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,30,MTA_200586
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,31,MTA_203050
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,32,MTA_203710
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,33,MTA_201422
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,34,MTA_200590
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,35,MTA_200591
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,36,MTA_200592
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,37,MTA_200593
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,38,MTA_200594
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,39,MTA_200595
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,40,MTA_200596
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,41,MTA_200597
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,42,MTA_200598
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,43,MTA_200315
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,44,MTA_200316
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,45,MTA_200416
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,46,MTA_200417
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,47,MTA_202993
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,0,MTA_202741
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,1,MTA_200426
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,2,MTA_200427
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,3,MTA_200259
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,4,MTA_200261
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,5,MTA_200524
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,6,MTA_200525
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,7,MTA_200526
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,8,MTA_200527
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,9,MTA_200528
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,10,MTA_200529
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,11,MTA_200530
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,12,MTA_200531
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,13,MTA_200532
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,14,MTA_200533
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,15,MTA_200534
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,16,MTA_200535
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,17,MTA_200536
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,18,MTA_200537
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,19,MTA_200538
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,20,MTA_200539
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,21,MTA_200540
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,22,MTA_200541
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,23,MTA_200542
MTA NYCT_S66,direction,0,ST GEORGE FERRY via GRYMES HILL,24,MTA_200543
