stop_id,code,name,lat,lon,direction,wheelchair_boarding
MTA_450060,450060,5 AV/W 43 ST,40.754263,-73.980408,SW,UNKNOWN
MTA_450119,450119,5 AV/W 59 ST,40.764227,-73.973142,SW,UNKNOWN
MTA_450135,450135,5 AV/W 37 ST,40.750451,-73.983185,SW,UNKNOWN
MTA_805064,805064,MADISON AV/E 59 ST,40.763475,-73.971399,NE,UNKNOWN
MTA_905198,905198,HUGUENOT AV/RAILEY CT,40.552591,-74.201852,SE,UNKNOWN
MTA_905199,905199,HUGUENOT AV/WOODROW RD,40.543146,-74.19731,S,UNKNOWN
MTA_202089,202089,ARTHUR KILL RD/VETERANS RD WEST,40.557499,-74.207278,E,UNKNOWN
MTA_202242,202242,ARTHUR KILL RD/WEST SERVICE RD,40.557636,-74.207172,W,UNKNOWN
MTA_202279,202279,FOSTER RD/RAMONA AV,40.536728,-74.205033,NW,UNKNOWN
MTA_202894,202894,FOSTER RD/ALBOURNE AV,40.529522,-74.202493,N,UNKNOWN
MTA_202899,202899,SEGUINE AV/WATERBURY AV,40.524966,-74.200749,SE,UNKNOWN
MTA_202905,202905,FOSTER RD/RATBUN AV,40.536876,-74.20526,SE,UNKNOWN
MTA_202934,202934,SEGUINE AV/DIRENZO CT,40.520311,-74.197505,SE,UNKNOWN
